threshold,macro_f1,fatal_precision,fatal_recall,fatal_f1,predicted_fatal_proportion
0.8250000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.8300000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.835,0.3298285525204647,0.0,0.0,0.0,0.0
0.84,0.3298285525204647,0.0,0.0,0.0,0.0
0.845,0.3298285525204647,0.0,0.0,0.0,0.0
0.85,0.3298285525204647,0.0,0.0,0.0,0.0
0.855,0.3298285525204647,0.0,0.0,0.0,0.0
0.86,0.3298285525204647,0.0,0.0,0.0,0.0
0.865,0.3298285525204647,0.0,0.0,0.0,0.0
0.87,0.3298285525204647,0.0,0.0,0.0,0.0
0.875,0.3298285525204647,0.0,0.0,0.0,0.0
0.88,0.3298285525204647,0.0,0.0,0.0,0.0
0.885,0.3298285525204647,0.0,0.0,0.0,0.0
0.89,0.3298285525204647,0.0,0.0,0.0,0.0
0.895,0.3298285525204647,0.0,0.0,0.0,0.0
0.9,0.3298285525204647,0.0,0.0,0.0,0.0
0.905,0.3298285525204647,0.0,0.0,0.0,0.0
0.91,0.3298285525204647,0.0,0.0,0.0,0.0
0.915,0.3298285525204647,0.0,0.0,0.0,0.0
0.92,0.3298285525204647,0.0,0.0,0.0,0.0
0.925,0.3298285525204647,0.0,0.0,0.0,0.0
0.93,0.3298285525204647,0.0,0.0,0.0,0.0
0.935,0.3298285525204647,0.0,0.0,0.0,0.0
0.9400000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.9450000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.9500000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.9550000000000001,0.3298285525204647,0.0,0.0,0.0,0.0
0.96,0.3298285525204647,0.0,0.0,0.0,0.0
0.965,0.3298285525204647,0.0,0.0,0.0,0.0
0.97,0.3298285525204647,0.0,0.0,0.0,0.0
0.975,0.3298285525204647,0.0,0.0,0.0,0.0
0.98,0.3298285525204647,0.0,0.0,0.0,0.0
0.985,0.3298285525204647,0.0,0.0,0.0,0.0
